ROI_Type,Y,X
Bleach,128,179
Bleach,128,180
Bleach,128,181
Bleach,128,182
Bleach,128,183
Bleach,128,184
Bleach,128,185
Bleach,128,186
Bleach,128,187
Bleach,128,188
Bleach,128,189
Bleach,128,190
Bleach,128,191
Bleach,128,192
Bleach,128,193
Bleach,128,194
Bleach,128,195
Bleach,128,196
Bleach,128,197
Bleach,128,198
Bleach,128,199
Bleach,128,200
Bleach,128,201
Bleach,128,202
Bleach,128,203
Bleach,128,204
Bleach,128,205
Bleach,128,206
Bleach,128,207
Bleach,128,208
Bleach,128,209
Bleach,128,210
Bleach,128,211
Bleach,128,212
Bleach,128,213
Bleach,128,214
Bleach,128,215
Bleach,128,216
Bleach,128,217
Bleach,128,218
Bleach,128,219
Bleach,128,220
Bleach,128,221
Bleach,128,222
Bleach,128,223
Bleach,128,224
Bleach,128,225
Bleach,128,226
Bleach,128,227
Bleach,128,228
Bleach,128,229
Bleach,129,164
Bleach,129,165
Bleach,129,166
Bleach,129,176
Bleach,129,177
Bleach,129,178
Bleach,129,179
Bleach,129,180
Bleach,129,181
Bleach,129,182
Bleach,129,183
Bleach,129,184
Bleach,129,185
Bleach,129,186
Bleach,129,187
Bleach,129,188
Bleach,129,189
Bleach,129,190
Bleach,129,191
Bleach,129,192
Bleach,129,193
Bleach,129,194
Bleach,129,195
Bleach,129,196
Bleach,129,197
Bleach,129,198
Bleach,129,199
Bleach,129,200
Bleach,129,201
Bleach,129,202
Bleach,129,203
Bleach,129,204
Bleach,129,205
Bleach,129,206
Bleach,129,207
Bleach,129,208
Bleach,129,209
Bleach,129,210
Bleach,129,211
Bleach,129,212
Bleach,129,213
Bleach,129,214
Bleach,129,215
Bleach,129,216
Bleach,129,217
Bleach,129,218
Bleach,129,219
Bleach,129,220
Bleach,129,221
Bleach,129,222
Bleach,129,223
Bleach,129,224
Bleach,129,225
Bleach,129,226
Bleach,129,227
Bleach,129,228
Bleach,129,229
Bleach,129,230
Bleach,130,165
Bleach,130,175
Bleach,130,176
Bleach,130,177
Bleach,130,178
Bleach,130,179
Bleach,130,180
Bleach,130,181
Bleach,130,182
Bleach,130,183
Bleach,130,184
Bleach,130,185
Bleach,130,186
Bleach,130,187
Bleach,130,188
Bleach,130,189
Bleach,130,190
Bleach,130,191
Bleach,130,192
Bleach,130,193
Bleach,130,194
Bleach,130,195
Bleach,130,196
Bleach,130,197
Bleach,130,198
Bleach,130,199
Bleach,130,200
Bleach,130,201
Bleach,130,202
Bleach,130,203
Bleach,130,204
Bleach,130,205
Bleach,130,206
Bleach,130,207
Bleach,130,208
Bleach,130,209
Bleach,130,210
Bleach,130,211
Bleach,130,212
Bleach,130,213
Bleach,130,214
Bleach,130,215
Bleach,130,216
Bleach,130,217
Bleach,130,218
Bleach,130,219
Bleach,130,220
Bleach,130,221
Bleach,130,222
Bleach,130,223
Bleach,130,224
Bleach,130,225
Bleach,130,226
Bleach,130,227
Bleach,130,228
Bleach,130,229
Bleach,131,174
Bleach,131,175
Bleach,131,176
Bleach,131,177
Bleach,131,178
Bleach,131,179
Bleach,131,180
Bleach,131,181
Bleach,131,182
Bleach,131,183
Bleach,131,184
Bleach,131,185
Bleach,131,186
Bleach,131,187
Bleach,131,188
